days_ahead,rmse_quarterly,rmse_daily,rmse_base,rmse_interpolated
160,NA,0.11583033569262825,0.11583033569262825,0.11583033569262825
161,NA,0.1910748947000008,0.1910748947000008,0.1910748947000008
162,NA,0.1259655019928393,0.1259655019928393,0.1259655019928393
163,NA,NA,NA,0.12273992307814029
164,NA,NA,NA,0.11951434416344127
165,NA,0.11628876524874227,0.11628876524874227,0.11628876524874227
166,NA,0.18161969685503346,0.18161969685503346,0.18161969685503346
167,NA,0.18881207588499288,0.18881207588499288,0.18881207588499288
168,NA,0.20349622671124573,0.20349622671124573,0.20349622671124573
169,NA,0.2011122916336901,0.2011122916336901,0.2011122916336901
170,NA,NA,NA,0.2061377194528887
171,NA,NA,NA,0.21116314727208732
172,NA,0.21618857509128592,0.21618857509128592,0.21618857509128592
173,NA,0.21885592673415857,0.21885592673415857,0.21885592673415857
174,NA,0.25238096965927126,0.25238096965927126,0.25238096965927126
175,NA,0.20453198608856688,0.20453198608856688,0.20453198608856688
176,NA,0.22831397838781878,0.22831397838781878,0.22831397838781878
177,NA,NA,NA,0.2072781463830016
178,NA,NA,NA,0.18624231437818442
179,NA,0.16520648237336724,0.16520648237336724,0.16520648237336724
180,NA,0.16617298678925366,0.16617298678925366,0.16617298678925366
181,NA,0.17850878021930702,0.17850878021930702,0.17850878021930702
182,NA,0.16391962316069084,0.16391962316069084,0.16391962316069084
183,0.5587994580899766,0.16493800488227625,0.5587994580899766,0.5587994580899766
184,NA,NA,NA,0.43857815214124274
185,NA,NA,NA,0.318356846192509
186,NA,0.19813554024377517,0.19813554024377517,0.19813554024377517
187,NA,0.2076378133637088,0.2076378133637088,0.2076378133637088
188,NA,0.21863211109075414,0.21863211109075414,0.21863211109075414
189,NA,0.19477798011700967,0.19477798011700967,0.19477798011700967
190,NA,0.14813422967025786,0.14813422967025786,0.14813422967025786
191,NA,NA,NA,0.15287976237383694
192,NA,NA,NA,0.157625295077416
193,NA,0.16237082778099507,0.16237082778099507,0.16237082778099507
