days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
1797,NA,1.2289686431926055,1.2289882224590092,NA,2.554931980060002,NA,1.2289686431926055
1798,NA,1.2292019886172454,1.2292220359127104,NA,2.5562527937956427,NA,1.2292019886172454
1799,NA,1.2294353340418853,1.2294560391764529,NA,2.5575736075312836,NA,1.2294353340418853
1800,NA,1.2296686794665252,1.2296902349894898,NA,2.5588944212669245,NA,1.2296686794665252
1801,NA,1.2299020248911652,1.2299246260910754,NA,2.5602152350025653,NA,1.2299020248911652
1802,NA,1.230135370315805,1.2301592152204626,NA,2.561536048738206,NA,1.230135370315805
1803,NA,1.2303687157404453,1.2303940051169053,NA,2.562856862473847,NA,1.2303687157404453
1804,NA,1.2306020611650852,1.2306289985196575,NA,2.5641776762094883,NA,1.2306020611650852
1805,NA,1.2308354065897251,1.2308641981679722,NA,2.565498489945129,NA,1.2308354065897251
1806,NA,1.231068752014365,1.2310996068011029,NA,2.56681930368077,NA,1.231068752014365
1807,NA,1.231302097439005,1.2313352271583036,NA,2.568140117416411,NA,1.231302097439005
1808,NA,1.231535442863645,1.2315710619788272,NA,2.5694609311520518,NA,1.231535442863645
1809,NA,1.2317687882882848,1.2318071140019284,NA,2.5707817448876926,NA,1.2317687882882848
1810,NA,1.2320021337129248,1.2320433859668598,NA,2.5721025586233335,NA,1.2320021337129248
1811,NA,1.2322354791375647,1.2322798806128754,NA,2.5734233723589743,NA,1.2322354791375647
1812,NA,1.2324688245622049,1.2325166006792283,NA,2.574744186094615,NA,1.2324688245622049
1813,NA,1.2327021699868448,1.232753548905173,NA,2.576064999830256,NA,1.2327021699868448
1814,NA,1.2329355154114847,1.2329907280299628,NA,2.577385813565897,NA,1.2329355154114847
1815,NA,1.2331688608361246,1.2332281407928503,NA,2.5787066273015378,NA,1.2331688608361246
1816,NA,1.2334022062607646,1.23346578993309,NA,2.5800274410371786,NA,1.2334022062607646
1817,NA,1.2336355516854045,1.2337036781899353,NA,2.5813482547728195,NA,1.2336355516854045
1818,NA,1.2338688971100444,1.2339418083026397,NA,2.5826690685084603,NA,1.2338688971100444
1819,NA,1.2341022425346844,1.2341801830104573,NA,2.583989882244101,NA,1.2341022425346844
1820,NA,1.2343355879593243,1.2344188050526408,NA,2.585310695979742,NA,1.2343355879593243
1821,NA,1.2345689333839645,1.2346576771684445,NA,2.586631509715383,NA,1.2345689333839645
1822,NA,1.2348022788086044,1.2348968020971212,NA,2.5879523234510238,NA,1.2348022788086044
1823,NA,1.2350356242332443,1.2351361825779252,NA,2.5892731371866646,NA,1.2350356242332443
1824,NA,1.2352689696578842,1.2353758213501098,NA,2.5905939509223055,NA,1.2352689696578842
1825,1.2355023150825242,1.2355023150825242,1.2356157211529288,NA,2.5919147646579463,NA,1.2355023150825242
1826,NA,1.2357422053002418,1.2358557283097065,NA,2.593235578393587,NA,1.2357422053002418
1827,NA,1.2359820955179595,1.2360956881817553,NA,2.594556392129228,NA,1.2359820955179595
1828,NA,1.236221985735677,1.236335602065311,NA,2.595877205864869,NA,1.236221985735677
1829,NA,1.2364618759533947,1.2365754712566082,NA,2.5971980196005098,NA,1.2364618759533947
1830,NA,1.2367017661711124,1.2368152970518835,NA,2.5985188333361506,NA,1.2367017661711124
1831,NA,1.23694165638883,1.237055080747372,NA,2.5998396470717915,NA,1.23694165638883
1832,NA,1.2371815466065477,1.2372948236393084,NA,2.6011604608074324,NA,1.2371815466065477
1833,NA,1.2374214368242653,1.2375345270239293,NA,2.602481274543073,NA,1.2374214368242653
1834,NA,1.237661327041983,1.2377741921974692,NA,2.603802088278714,NA,1.237661327041983
1835,NA,1.2379012172597006,1.2380138204561644,NA,2.605122902014355,NA,1.2379012172597006
1836,NA,1.2381411074774182,1.2382534130962497,NA,2.606443715749996,NA,1.2381411074774182
1837,NA,1.2383809976951359,1.238492971413961,NA,2.6077645294856366,NA,1.2383809976951359
1838,NA,1.2386208879128535,1.2387324967055333,NA,2.6090853432212775,NA,1.2386208879128535
